Powers test of 67 - started 15/04/2026 17:48:09

67^1: steps=27 even=19 odd=8 pct=70.4% peak=304 ms=0.033
67^110: steps=4850 even=3232 odd=1618 pct=66.6% peak=9460811158301399935545735373277798015128719383249397882027750732736845436942392659386402790056669435922463653795033863997179299454713028870108042420886938544272135137313609041101831560150884116510436724 ms=2.206
67^111: steps=4396 even=2956 odd=1440 pct=67.2% peak=2439577477317527728793201027036230729728089339673036626373932943045597640895266421022771505461197963442615144790668433896802155381771900107149294451819807524321829635363142466454893446788810942167580386664 ms=1.174
67^112: steps=4371 even=2943 odd=1428 pct=67.3% peak=9942581445031034278491257758760743515516856200932854188989646728897539082402566589743304896102865668999652923203285044319830357626488282916384307838504376391459377545165617276899467032117451863326867567684 ms=1.153
67^113: steps=4832 even=3228 odd=1604 pct=66.8% peak=999229435225618944988371404755454723309444048193751845993459496254202677781457942269202142058337999734465118781930146954142950941462072433096622937769689827341667443289144536328396436727803912264350190552144 ms=1.155
67^114: steps=5143 even=3421 odd=1722 pct=66.5% peak=305377949373531445617074726001672839171416697895936786552739997113937687249719659375557608140285490574723222680973440889507656523459216859110005704474230598558394147778132281973964973860578237418575433119949508 ms=1.316
67^115: steps=5524 even=3657 odd=1867 pct=66.2% peak=25546557354816943052456958148480743971800099752165134646316580670011323696788619284180163242540718716476891768567262103395630298748958939515097419750121033873975681378767992198347555466089378707896507624439551348 ms=1.965
67^116: steps=5225 even=3476 odd=1749 pct=66.5% peak=200354161751175220501025032538976552631145546844598257637687238981268506651723090060474695901261274542757955013473104525579264236004638194130293069754950147693841283497315318786491664999709658709575170907355822644 ms=1.470
67^117: steps=5001 even=3341 odd=1660 pct=66.8% peak=20135593255993109660353015770167143539430127457882124892587567517617484918498170551077706938076758091547174478854047004820716055718466138510094453510372489843231048991480189538042412332470820700312304676189260175624 ms=1.240
67^118: steps=5281 even=3515 odd=1766 pct=66.6% peak=1011813561113653760432739042450898962856363904758576775852525267760278617154533070191654773638357094100245517562415861992240981799852923460132246288896217614622360211821879524286631219706658740190693309978510323824984 ms=1.288
67^119: steps=4659 even=3136 odd=1523 pct=67.3% peak=90388678126153069265324687792280307348501842158432858642825590586584889799138287603787826445026567072955266235575817004640194374120194495771814001808062106906264178922754570836272388960461514123701935691413588928364916 ms=1.306
67^120: steps=4828 even=3242 odd=1586 pct=67.1% peak=5109784960319090696905386256757346124794994764518907540152234167847877051457536321101630563720408119843002394379895405043565988211982245089100360289712010981044746864726969332588023488421089970305525052055224449106629024 ms=1.388
67^121: steps=5214 even=3481 odd=1733 pct=66.8% peak=405754776108301127932042523499546299687424769449205102447644076143179570308331773053403552911724259590496190131499842533829832545425553091519673054116390797902219899184245268484026754043511736901297989318755600699430096704 ms=1.466
67^122: steps=6024 even=3980 odd=2044 pct=66.1% peak=58061368738645757787845955982290058346580726604123607867725428548031210212606978880607587113869183626499820550564980885390187043992832879831334153268184206275209355085515893501656207268790753219150676832898378334850383437104 ms=1.612
67^123: steps=5420 even=3612 odd=1808 pct=66.6% peak=23659113176844645206720959401435952722361781285749942444058249527251606489968151695713364858168534530432849570372671529194801044319784602342907923901162771744490854301743820356907459128852152873951986786641013195842345228049140 ms=1.477
